"year","author","age","birth_cohort","total_writers_year","german_1910_borders","loc_capital","loc_independent_someday","loc_book_trade","loc_large","loc_large_not_BER_MUN","loc_berlin","loc_munich","loc_university","loc_uni_not_large_capital","dist_1plus_30km","dist_2plus_10km","dist_nearest_writer","dist_num_writers_10km","other_move","other_published_in_year","other_distance_birth_location","other_distance_location_last_year"
1814,"""Franz Ferdinand, count von Dingelstedt""",0,"1786-1830",26,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,41,0,FALSE,0,0,NA
1815,"""Franz Ferdinand, count von Dingelstedt""",1,"1786-1830",26,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,57,0,FALSE,0,0,0
1816,"""Franz Ferdinand, count von Dingelstedt""",2,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,57,0,FALSE,0,0,0
1817,"""Franz Ferdinand, count von Dingelstedt""",3,"1786-1830",28,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,91,0,FALSE,0,0,0
1818,"""Franz Ferdinand, count von Dingelstedt""",4,"1786-1830",28,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,91,0,FALSE,0,0,0
1819,"""Franz Ferdinand, count von Dingelstedt""",5,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,114,0,FALSE,0,0,0
1820,"""Franz Ferdinand, count von Dingelstedt""",6,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,97,0,FALSE,0,0,0
1821,"""Franz Ferdinand, count von Dingelstedt""",7,"1786-1830",30,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,97,0,FALSE,0,0,0
1822,"""Franz Ferdinand, count von Dingelstedt""",8,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,TRUE,0,142,142
1823,"""Franz Ferdinand, count von Dingelstedt""",9,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1824,"""Franz Ferdinand, count von Dingelstedt""",10,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1825,"""Franz Ferdinand, count von Dingelstedt""",11,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1826,"""Franz Ferdinand, count von Dingelstedt""",12,"1786-1830",27,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1827,"""Franz Ferdinand, count von Dingelstedt""",13,"1786-1830",28,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1828,"""Franz Ferdinand, count von Dingelstedt""",14,"1786-1830",27,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1829,"""Franz Ferdinand, count von Dingelstedt""",15,"1786-1830",30,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1830,"""Franz Ferdinand, count von Dingelstedt""",16,"1786-1830",30,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,142,0
1831,"""Franz Ferdinand, count von Dingelstedt""",17,"1786-1830",33,TRUE,0,FALSE,0,0,0,FALSE,0,1,1,0,0,78,0,TRUE,0,17,155
1832,"""Franz Ferdinand, count von Dingelstedt""",18,"1786-1830",33,TRUE,0,FALSE,0,0,0,FALSE,0,1,1,0,0,97,0,FALSE,0,17,0
1833,"""Franz Ferdinand, count von Dingelstedt""",19,"1786-1830",35,TRUE,0,FALSE,0,0,0,FALSE,0,1,1,1,0,26,0,FALSE,0,17,0
1834,"""Franz Ferdinand, count von Dingelstedt""",20,"1786-1830",35,TRUE,0,FALSE,0,0,0,FALSE,0,1,1,1,0,26,0,FALSE,0,17,0
1835,"""Franz Ferdinand, count von Dingelstedt""",21,"1786-1830",37,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,TRUE,1,171,186
1836,"""Franz Ferdinand, count von Dingelstedt""",22,"1786-1830",35,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,41,0,TRUE,0,57,120
1837,"""Franz Ferdinand, count von Dingelstedt""",23,"1786-1830",38,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,41,0,FALSE,0,57,0
1838,"""Franz Ferdinand, count von Dingelstedt""",24,"1786-1830",36,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,86,0,TRUE,1,65,85
1839,"""Franz Ferdinand, count von Dingelstedt""",25,"1786-1830",32,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,86,0,FALSE,1,65,0
1840,"""Franz Ferdinand, count von Dingelstedt""",26,"1786-1830",32,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,74,0,FALSE,0,65,0
1841,"""Franz Ferdinand, count von Dingelstedt""",27,"1786-1830",29,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,344,0,TRUE,1,637,695
1842,"""Franz Ferdinand, count von Dingelstedt""",28,"1786-1830",29,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,1,1,0,2,TRUE,0,526,NA
1843,"""Franz Ferdinand, count von Dingelstedt""",29,"1786-1830",26,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,1,1,0,2,FALSE,0,526,NA
1844,"""Franz Ferdinand, count von Dingelstedt""",30,"1786-1830",28,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,7,1,TRUE,0,238,NA
1845,"""Franz Ferdinand, count von Dingelstedt""",31,"1786-1830",26,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,7,1,FALSE,0,238,0
1846,"""Franz Ferdinand, count von Dingelstedt""",32,"1786-1830",26,TRUE,1,FALSE,1,0,0,FALSE,0,0,0,1,0,0,1,TRUE,0,238,7
1847,"""Franz Ferdinand, count von Dingelstedt""",33,"1786-1830",29,TRUE,1,FALSE,1,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,238,0
1848,"""Franz Ferdinand, count von Dingelstedt""",34,"1786-1830",33,TRUE,1,FALSE,1,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,238,0
1849,"""Franz Ferdinand, count von Dingelstedt""",35,"1786-1830",32,TRUE,1,FALSE,1,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,238,0
1850,"""Franz Ferdinand, count von Dingelstedt""",36,"1786-1830",32,TRUE,1,FALSE,1,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,238,0
1851,"""Franz Ferdinand, count von Dingelstedt""",37,"1786-1830",28,TRUE,1,FALSE,1,1,0,FALSE,1,1,0,1,0,0,1,TRUE,0,363,191
1852,"""Franz Ferdinand, count von Dingelstedt""",38,"1786-1830",26,TRUE,1,FALSE,1,1,0,FALSE,1,1,0,1,0,0,1,FALSE,0,363,0
1853,"""Franz Ferdinand, count von Dingelstedt""",39,"1786-1830",24,TRUE,1,FALSE,1,1,0,FALSE,1,1,0,1,1,0,2,FALSE,0,363,0
1854,"""Franz Ferdinand, count von Dingelstedt""",40,"1786-1830",24,TRUE,1,FALSE,1,1,0,FALSE,1,1,0,1,1,0,3,FALSE,0,363,0
1855,"""Franz Ferdinand, count von Dingelstedt""",41,"1786-1830",22,TRUE,1,FALSE,1,1,0,FALSE,1,1,0,1,1,0,4,FALSE,0,363,0
1856,"""Franz Ferdinand, count von Dingelstedt""",42,"1786-1830",23,TRUE,1,FALSE,1,1,0,FALSE,1,1,0,1,1,0,4,FALSE,0,363,0
1857,"""Franz Ferdinand, count von Dingelstedt""",43,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,1,0,2,TRUE,0,168,317
1858,"""Franz Ferdinand, count von Dingelstedt""",44,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,1,0,2,FALSE,0,168,0
1859,"""Franz Ferdinand, count von Dingelstedt""",45,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,168,0
1860,"""Franz Ferdinand, count von Dingelstedt""",46,"1786-1830",23,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,168,0
1861,"""Franz Ferdinand, count von Dingelstedt""",47,"1786-1830",23,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,168,0
1862,"""Franz Ferdinand, count von Dingelstedt""",48,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,168,0
1863,"""Franz Ferdinand, count von Dingelstedt""",49,"1786-1830",23,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,168,0
1864,"""Franz Ferdinand, count von Dingelstedt""",50,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,168,0
1865,"""Franz Ferdinand, count von Dingelstedt""",51,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,168,0
1866,"""Franz Ferdinand, count von Dingelstedt""",52,"1786-1830",22,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,168,0
1867,"""Franz Ferdinand, count von Dingelstedt""",53,"1786-1830",23,TRUE,1,FALSE,0,0,0,FALSE,0,0,0,0,0,31,0,FALSE,0,168,0
1868,"""Franz Ferdinand, count von Dingelstedt""",54,"1786-1830",23,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,TRUE,0,615,477
1869,"""Franz Ferdinand, count von Dingelstedt""",55,"1786-1830",23,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,1,615,NA
1870,"""Franz Ferdinand, count von Dingelstedt""",56,"1786-1830",20,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1871,"""Franz Ferdinand, count von Dingelstedt""",57,"1786-1830",21,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1872,"""Franz Ferdinand, count von Dingelstedt""",58,"1786-1830",23,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1873,"""Franz Ferdinand, count von Dingelstedt""",59,"1786-1830",23,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1874,"""Franz Ferdinand, count von Dingelstedt""",60,"1786-1830",22,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1875,"""Franz Ferdinand, count von Dingelstedt""",61,"1786-1830",20,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1876,"""Franz Ferdinand, count von Dingelstedt""",62,"1786-1830",19,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1877,"""Franz Ferdinand, count von Dingelstedt""",63,"1786-1830",17,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,215,0,FALSE,0,615,NA
1878,"""Franz Ferdinand, count von Dingelstedt""",64,"1786-1830",15,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,1,615,NA
1879,"""Franz Ferdinand, count von Dingelstedt""",65,"1786-1830",15,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,1,615,NA
1880,"""Franz Ferdinand, count von Dingelstedt""",66,"1786-1830",17,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,615,NA
1881,"""Franz Ferdinand, count von Dingelstedt""",67,"1786-1830",17,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,1,0,0,1,FALSE,0,615,NA
1788,"""Joseph, baron von Eichendorff""",0,"1786-1830",23,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,431,0,FALSE,0,0,NA
1789,"""Joseph, baron von Eichendorff""",1,"1786-1830",26,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,431,0,FALSE,0,0,0
1790,"""Joseph, baron von Eichendorff""",2,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,431,0,FALSE,0,0,0
1791,"""Joseph, baron von Eichendorff""",3,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,335,0,FALSE,0,0,0
1792,"""Joseph, baron von Eichendorff""",4,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,335,0,FALSE,0,0,0
1793,"""Joseph, baron von Eichendorff""",5,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,335,0,FALSE,0,0,0
1794,"""Joseph, baron von Eichendorff""",6,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,335,0,FALSE,0,0,0
1795,"""Joseph, baron von Eichendorff""",7,"1786-1830",30,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,335,0,FALSE,0,0,0
1796,"""Joseph, baron von Eichendorff""",8,"1786-1830",31,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,230,0,FALSE,0,0,0
1797,"""Joseph, baron von Eichendorff""",9,"1786-1830",28,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,230,0,FALSE,0,0,0
1798,"""Joseph, baron von Eichendorff""",10,"1786-1830",29,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,141,0,FALSE,0,0,0
1799,"""Joseph, baron von Eichendorff""",11,"1786-1830",26,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,141,0,FALSE,0,0,0
1800,"""Joseph, baron von Eichendorff""",12,"1786-1830",26,TRUE,0,FALSE,0,0,0,FALSE,0,0,0,0,0,141,0,FALSE,0,0,0
1801,"""Joseph, baron von Eichendorff""",13,"1786-1830",26,TRUE,1,FALSE,1,1,1,FALSE,0,1,0,1,1,0,3,TRUE,0,141,141
1802,"""Joseph, baron von Eichendorff""",14,"1786-1830",24,TRUE,1,FALSE,1,1,1,FALSE,0,1,0,1,1,0,2,FALSE,0,141,0
1803,"""Joseph, baron von Eichendorff""",15,"1786-1830",25,TRUE,1,FALSE,1,1,1,FALSE,0,1,0,1,1,0,2,FALSE,0,141,0
1804,"""Joseph, baron von Eichendorff""",16,"1786-1830",26,TRUE,1,FALSE,1,1,1,FALSE,0,1,0,1,1,0,2,FALSE,0,141,0
1805,"""Joseph, baron von Eichendorff""",17,"1786-1830",27,TRUE,0,FALSE,1,0,0,FALSE,0,1,1,1,0,0,1,TRUE,0,470,359
1806,"""Joseph, baron von Eichendorff""",18,"1786-1830",29,TRUE,0,FALSE,1,0,0,FALSE,0,1,1,1,1,0,2,FALSE,0,470,0
1807,"""Joseph, baron von Eichendorff""",19,"1786-1830",25,TRUE,0,FALSE,0,0,0,FALSE,0,1,1,1,1,0,3,TRUE,0,690,325
1808,"""Joseph, baron von Eichendorff""",20,"1786-1830",25,TRUE,0,FALSE,0,0,0,FALSE,0,1,1,1,1,0,2,FALSE,0,690,0
1809,"""Joseph, baron von Eichendorff""",21,"1786-1830",25,TRUE,1,FALSE,1,1,0,TRUE,0,0,0,1,1,0,4,TRUE,0,431,478
1810,"""Joseph, baron von Eichendorff""",22,"1786-1830",24,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,5,FALSE,0,431,0
1811,"""Joseph, baron von Eichendorff""",23,"1786-1830",24,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,7,FALSE,1,431,0
1812,"""Joseph, baron von Eichendorff""",24,"1786-1830",24,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,7,FALSE,0,431,0
1813,"""Joseph, baron von Eichendorff""",25,"1786-1830",23,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,NA,0,NA,NA,TRUE,0,5816,5954
1814,"""Joseph, baron von Eichendorff""",26,"1786-1830",26,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,NA,0,NA,NA,FALSE,0,5816,NA
1815,"""Joseph, baron von Eichendorff""",27,"1786-1830",26,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,NA,0,NA,NA,FALSE,0,5816,NA
1816,"""Joseph, baron von Eichendorff""",28,"1786-1830",29,FALSE,0,FALSE,0,0,0,FALSE,0,0,0,NA,0,NA,NA,FALSE,0,5816,NA
1817,"""Joseph, baron von Eichendorff""",29,"1786-1830",28,TRUE,0,FALSE,1,1,1,FALSE,0,1,0,1,0,0,1,TRUE,0,141,NA
1818,"""Joseph, baron von Eichendorff""",30,"1786-1830",28,TRUE,0,FALSE,1,1,1,FALSE,0,1,0,1,0,0,1,FALSE,0,141,0
1819,"""Joseph, baron von Eichendorff""",31,"1786-1830",31,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,6,TRUE,1,431,296
1820,"""Joseph, baron von Eichendorff""",32,"1786-1830",31,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,7,FALSE,0,431,0
1821,"""Joseph, baron von Eichendorff""",33,"1786-1830",30,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,7,FALSE,0,431,0
1822,"""Joseph, baron von Eichendorff""",34,"1786-1830",31,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,9,FALSE,0,431,0
1823,"""Joseph, baron von Eichendorff""",35,"1786-1830",31,TRUE,1,FALSE,1,1,0,TRUE,0,1,0,1,1,0,6,FALSE,0,431,0
1824,"""Joseph, baron von Eichendorff""",36,"1786-1830",29,TRUE,0,FALSE,0,1,1,FALSE,0,1,0,1,0,0,1,TRUE,0,537,530
1825,"""Joseph, baron von Eichendorff""",37,"1786-1830",29,TRUE,0,FALSE,0,1,1,FALSE,0,1,0,1,1,0,2,FALSE,0,537,0
1826,"""Joseph, baron von Eichendorff""",38,"1786-1830",27,TRUE,0,FALSE,0,1,1,FALSE,0,1,0,1,0,0,1,FALSE,1,537,0
1827,"""Joseph, baron von Eichendorff""",39,"1786-1830",28,TRUE,0,FALSE,0,1,1,FALSE,0,1,0,1,0,0,1,FALSE,0,537,0
1828,"""Joseph, baron von Eichendorff""",40,"1786-1830",27,TRUE,0,FALSE,0,1,1,FALSE,0,1,0,1,0,0,1,FALSE,0,537,0
