"year","author","age","locations","publications","german_1910_borders","first_location","lon","lat"
1814,"""Franz Ferdinand, count von Dingelstedt""",0,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1815,"""Franz Ferdinand, count von Dingelstedt""",1,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1816,"""Franz Ferdinand, count von Dingelstedt""",2,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1817,"""Franz Ferdinand, count von Dingelstedt""",3,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1818,"""Franz Ferdinand, count von Dingelstedt""",4,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1819,"""Franz Ferdinand, count von Dingelstedt""",5,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1820,"""Franz Ferdinand, count von Dingelstedt""",6,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1821,"""Franz Ferdinand, count von Dingelstedt""",7,"Halsdorf",0,TRUE,"Halsdorf",8.9472119,50.9144709
1822,"""Franz Ferdinand, count von Dingelstedt""",8,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1823,"""Franz Ferdinand, count von Dingelstedt""",9,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1824,"""Franz Ferdinand, count von Dingelstedt""",10,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1825,"""Franz Ferdinand, count von Dingelstedt""",11,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1826,"""Franz Ferdinand, count von Dingelstedt""",12,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1827,"""Franz Ferdinand, count von Dingelstedt""",13,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1828,"""Franz Ferdinand, count von Dingelstedt""",14,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1829,"""Franz Ferdinand, count von Dingelstedt""",15,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1830,"""Franz Ferdinand, count von Dingelstedt""",16,"Rinteln",0,TRUE,"Rinteln",9.0779862,52.1912143
1831,"""Franz Ferdinand, count von Dingelstedt""",17,"Marburg",0,TRUE,"Marburg",8.7757742,50.8117327
1832,"""Franz Ferdinand, count von Dingelstedt""",18,"Marburg",0,TRUE,"Marburg",8.7757742,50.8117327
1833,"""Franz Ferdinand, count von Dingelstedt""",19,"Marburg",0,TRUE,"Marburg",8.7757742,50.8117327
1834,"""Franz Ferdinand, count von Dingelstedt""",20,"Marburg",0,TRUE,"Marburg",8.7757742,50.8117327
1835,"""Franz Ferdinand, count von Dingelstedt""",21,"Hanover",2,TRUE,"Hanover",9.7385532,52.3744779
1836,"""Franz Ferdinand, count von Dingelstedt""",22,"Kassel",0,TRUE,"Kassel",9.4624705,51.3076867
1837,"""Franz Ferdinand, count von Dingelstedt""",23,"Kassel",0,TRUE,"Kassel",9.4624705,51.3076867
1838,"""Franz Ferdinand, count von Dingelstedt""",24,"Fulda",3,TRUE,"Fulda",9.676511,50.5521486
1839,"""Franz Ferdinand, count von Dingelstedt""",25,"Fulda",1,TRUE,"Fulda",9.676511,50.5521486
1840,"""Franz Ferdinand, count von Dingelstedt""",26,"Fulda",0,TRUE,"Fulda",9.676511,50.5521486
1841,"""Franz Ferdinand, count von Dingelstedt""",27,"London,Paris,Kassel",2,FALSE,"London",-0.1276474,51.5073219
1842,"""Franz Ferdinand, count von Dingelstedt""",28,"Paris",0,FALSE,"Paris",2.3514992,48.8566101
1843,"""Franz Ferdinand, count von Dingelstedt""",29,"Paris,Württemberg",0,FALSE,"Paris",2.3514992,48.8566101
1844,"""Franz Ferdinand, count von Dingelstedt""",30,"Württemberg",0,TRUE,"Württemberg",9.2687566,48.7820489
1845,"""Franz Ferdinand, count von Dingelstedt""",31,"Württemberg",0,TRUE,"Württemberg",9.2687566,48.7820489
1846,"""Franz Ferdinand, count von Dingelstedt""",32,"Stuttgart",0,TRUE,"Stuttgart",9.1800132,48.7784485
1847,"""Franz Ferdinand, count von Dingelstedt""",33,"Stuttgart",0,TRUE,"Stuttgart",9.1800132,48.7784485
1848,"""Franz Ferdinand, count von Dingelstedt""",34,"Stuttgart",0,TRUE,"Stuttgart",9.1800132,48.7784485
1849,"""Franz Ferdinand, count von Dingelstedt""",35,"Stuttgart",0,TRUE,"Stuttgart",9.1800132,48.7784485
1850,"""Franz Ferdinand, count von Dingelstedt""",36,"Stuttgart",0,TRUE,"Stuttgart",9.1800132,48.7784485
1851,"""Franz Ferdinand, count von Dingelstedt""",37,"Munich",0,TRUE,"Munich",11.5753822,48.1371079
1852,"""Franz Ferdinand, count von Dingelstedt""",38,"Munich",0,TRUE,"Munich",11.5753822,48.1371079
1853,"""Franz Ferdinand, count von Dingelstedt""",39,"Munich",0,TRUE,"Munich",11.5753822,48.1371079
1854,"""Franz Ferdinand, count von Dingelstedt""",40,"Munich",0,TRUE,"Munich",11.5753822,48.1371079
1855,"""Franz Ferdinand, count von Dingelstedt""",41,"Munich",0,TRUE,"Munich",11.5753822,48.1371079
1856,"""Franz Ferdinand, count von Dingelstedt""",42,"Munich",0,TRUE,"Munich",11.5753822,48.1371079
1857,"""Franz Ferdinand, count von Dingelstedt""",43,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1858,"""Franz Ferdinand, count von Dingelstedt""",44,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1859,"""Franz Ferdinand, count von Dingelstedt""",45,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1860,"""Franz Ferdinand, count von Dingelstedt""",46,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1861,"""Franz Ferdinand, count von Dingelstedt""",47,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1862,"""Franz Ferdinand, count von Dingelstedt""",48,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1863,"""Franz Ferdinand, count von Dingelstedt""",49,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
1864,"""Franz Ferdinand, count von Dingelstedt""",50,"Weimar",0,TRUE,"Weimar",11.3290855,50.9802813
